sido,sigungu,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4,y5,y6,y7,전월세구분,a1,a2,a3
전북특별자치도,익산시,118313,1364.5,24014,48579,4195,0,39240,1177,119245,3.7,0.04,0,0,0.02,0.06,월세,54.01991561,2448.115404,40.02009274
전북특별자치도,정읍시,45455,492.8,11112,16687,1589,0,15014,654,45858,4.5,0.05,0,0,0.03,0.08,월세,49.41893228,2343.480315,27.13779528
전북특별자치도,김제시,34491,355.9,8869,12029,1400,0,11457,436,34602,6,0.06,0,0,0.03,0.1,월세,50.88782282,2322.354369,25.8592233
전북특별자치도,완주군,37510,450.5,8300,14555,1628,0,12263,360,38390,6.2,0.06,0,0,0.03,0.1,월세,60.41330401,9591.96941,18.2629279
전북특별자치도,진안군,10348,101.3,2723,3100,549,0,3654,255,10632,10.5,0.11,0,0.01,0.05,0.17,월세,55.12423913,3317.826087,14.82608696
전북특별자치도,무주군,10296,100.6,2811,3201,450,0,3606,150,10429,12.1,0.13,0,0,0.05,0.18,월세,57.62464286,4043.342857,18.2
전북특별자치도,장수군,9248,91.5,2453,2941,481,0,3136,159,9354,9.2,0.09,0,0,0.04,0.13,월세,48.9154,1781.6,16
전북특별자치도,고창군,23540,230.4,6348,7396,928,0,8326,366,23409,5.5,0.06,0,0,0.04,0.1,월세,45.31217297,1604.081081,27.45945946
전라남도,목포시,92846,1109.2,17626,40712,3261,0,29003,1384,94214,4.3,0.04,0,0,0.02,0.06,월세,66.53130393,8768.578609,25.33257748
전라남도,나주시,46928,508.3,9895,17484,1382,0,16876,807,48429,5.3,0.05,0,0,0.03,0.08,월세,71.11697584,5007.18118,41.94101124
전라남도,담양군,17663,190,4831,6073,1018,0,5317,247,17957,8.9,0.09,0,0,0.05,0.15,월세,61.56172308,2761.769231,30.61538462
전라남도,곡성군,12630,111,3061,3527,556,0,5161,244,12657,9.8,0.1,0,0,0.04,0.14,월세,61.84364286,1942.857143,42.85714286
전라남도,구례군,10786,101.7,2799,3219,582,0,3930,194,10969,6,0.06,0,0.01,0.04,0.11,월세,70.64578889,2611.111111,44.44444444
전라남도,고흥군,28933,283.2,8310,7831,954,0,11154,364,29446,6,0.06,0,0,0.03,0.1,월세,50.8484566,2025.415094,49.05660377
전라남도,보성군,17708,165.3,4636,5087,785,0,6806,259,17805,7.2,0.07,0,0,0.03,0.11,월세,48.03735,1117.5,20.6
전라남도,화순군,24708,274.3,5739,9575,918,0,7983,247,25290,7.4,0.08,0,0,0.03,0.11,월세,56.84531449,2895.327103,34.92523364
전라남도,장흥군,16350,161.4,4240,4997,675,0,6078,221,16427,10.2,0.1,0,0,0.04,0.14,월세,49.79225128,1408.897436,25.48717949
전라남도,강진군,14918,149,3991,4516,586,0,5479,208,15198,6.5,0.07,0,0,0.04,0.11,월세,42.76755185,1561.037037,30.03703704
전라남도,해남군,28491,306.2,7500,8998,1478,0,9851,394,28944,6.8,0.07,0,0,0.04,0.11,월세,56.43962444,1717.377778,43.24444444
전라남도,영암군,22747,237.1,5029,7715,964,0,8218,635,23458,5.6,0.06,0,0,0.04,0.1,월세,51.51476404,4702.359551,14.51685393
전라남도,무안군,32078,369.2,6595,12848,1240,0,10720,394,35527,3.9,0.04,0,0,0.02,0.06,월세,62.82336148,3061.237037,42.58518519
전라남도,함평군,13434,125.4,3416,3947,706,0,4999,271,13473,7.9,0.08,0,0,0.05,0.13,월세,64.3144,4000,145
전라남도,영광군,21345,234.6,5075,7393,1039,0,7261,375,21731,6.6,0.07,0,0,0.04,0.11,월세,50.99201892,1608.189189,31.16216216
전라남도,장성군,17059,193.6,4600,6067,909,5,5145,175,17237,7.9,0.08,0,0,0.04,0.12,월세,50.17615714,1627.904762,23.26190476
전라남도,완도군,20810,225.3,5659,6515,934,0,7049,462,21182,5.3,0.06,0,0,0.05,0.11,월세,53.11985294,2253.647059,43.41176471
전라남도,진도군,13090,150.2,3475,3797,531,0,4893,248,13367,6.7,0.07,0,0,0.04,0.11,월세,58.60693333,2315.222222,38.77777778
경상북도,포항시,202492,2437.9,45367,89000,6198,0,57616,2455,207243,3.4,0.03,0,0,0.01,0.05,월세,69.57647935,4796.732456,47.62938596
경상북도,영주시,44303,469.5,12013,15599,1625,0,14132,538,45558,9.4,0.09,0,0,0.03,0.13,월세,62.91572523,3203.099099,45.11711712
경상북도,영천시,43310,422.9,10386,15030,1716,0,15063,819,44764,11.1,0.11,0,0,0.06,0.18,월세,65.0392433,5752.777174,22.83152174
경상북도,의성군,23767,202.6,7127,6247,969,0,8949,305,24046,20.2,0.21,0,0,0.03,0.24,월세,50.86507143,3468,29.57142857
경상북도,청송군,11512,98.4,3434,3118,394,0,4239,256,11704,18.3,0.19,0,0,0.04,0.23,월세,45.17071429,1243.428571,14.35714286
경상북도,영양군,7539,67.4,2240,2024,327,0,2759,134,7653,16.4,0.17,0,0,0.03,0.2,월세,38.8145,838.2,12.5
경상북도,영덕군,16918,147.8,4458,4765,629,0,6565,398,16952,10.4,0.11,0,0,0.03,0.15,월세,87.42523333,2083.333333,63.33333333
경상북도,청도군,18616,171.8,5024,5511,814,0,6789,346,18794,12.1,0.12,0,0,0.04,0.16,월세,67.1255,2233.333333,31.66666667
경상북도,고령군,13468,127.1,3428,4573,631,0,4499,256,13461,10.1,0.11,0,0,0.06,0.17,월세,59.01408571,1531.557143,34.35714286
경상북도,성주군,17835,173.5,4724,5575,958,0,6100,344,18152,12.5,0.13,0,0,0.06,0.2,월세,78.7578,7625,40
경상북도,칠곡군,46237,557.1,9009,20224,1529,0,14329,692,46733,4.6,0.05,0,0,0.03,0.08,월세,59.41853669,1850.520161,33.58064516
경상북도,예천군,23382,241.9,6291,7895,914,0,7862,206,23979,9.7,0.1,0,0,0.02,0.12,월세,80.01440085,2669.932203,70.18644068
경상북도,봉화군,13992,132.7,4167,3991,543,0,4903,265,14066,15.6,0.16,0,0,0.03,0.2,월세,54.755,1250,35.75
경상북도,울진군,21332,188.9,5280,6900,673,0,7883,417,21671,9.5,0.1,0,0,0.03,0.13,월세,62.24223,1870.666667,51.06666667
경상북도,울릉군,4061,25.5,937,1076,147,0,1661,235,4116,12.5,0.13,0,0.01,0.11,0.24,월세,47.1,200,67
경상남도,진주시,140718,1724.7,26974,62220,5497,0,43984,749,146562,5.6,0.06,0,0,0.01,0.08,월세,60.24712176,5966.968834,47.45781838
경상남도,사천시,45589,528.3,10084,18198,1641,0,14622,591,46501,6.2,0.06,0,0,0.02,0.09,월세,66.04325215,2356.639571,48.32208589
경상남도,밀양시,44923,440.5,11088,15306,1750,0,15731,725,45906,9.1,0.1,0,0,0.03,0.13,월세,57.70468395,3250.874419,34.20697674
경상남도,거제시,93728,1258.3,17932,44501,3017,0,25977,1314,95725,2.5,0.03,0,0,0.01,0.04,월세,74.56560829,1579.243232,49.45854484
경상남도,의령군,12144,105.4,3017,3346,488,0,4982,239,12287,14.7,0.15,0,0,0.04,0.19,월세,51.23666667,1184.666667,21.66666667
경상남도,함안군,26560,297.8,5847,10466,1036,0,8522,485,26576,7.6,0.08,0,0,0.03,0.12,월세,61.90092639,2797.75,37.20833333
경상남도,창녕군,26590,262,6825,8555,1113,0,9356,522,26832,15.5,0.16,0,0,0.05,0.21,월세,57.89965857,1887.457143,34.32857143
