Sido,Sigungu,Latitude,Longitude,Result
서울특별시,중랑구,127.0947778,37.60380556,0.13873482
서울특별시,성북구,127.0203333,37.58638333,0.11582351
서울특별시,강북구,127.0277194,37.63695556,0.14992847
서울특별시,도봉구,127.0495222,37.66583333,0.06690623
서울특별시,노원구,127.0583889,37.65146111,0.07173766
서울특별시,은평구,126.9312417,37.59996944,0.10132691
서울특별시,서대문구,126.9388972,37.57636667,0.15120986
서울특별시,마포구,126.9105306,37.56070556,0.13282649
서울특별시,양천구,126.8687083,37.51423056,0.059491545
서울특별시,강서구,126.851675,37.54815556,0.0745911
서울특별시,구로구,126.8895972,37.49265,0.107700944
서울특별시,금천구,126.9041972,37.44910833,0.12882164
서울특별시,영등포구,126.8983417,37.52361111,0.13860202
서울특별시,동작구,126.941575,37.50965556,0.17198828
서울특별시,관악구,126.9538444,37.47538611,0.21024767
서울특별시,서초구,127.0348111,37.48078611,0.08528465
서울특별시,강남구,127.0495556,37.514575,0.05346717
서울특별시,송파구,127.1079306,37.51175556,0.05924177
서울특별시,강동구,127.1258639,37.52736667,0.09426683
부산광역시,중구,129.0345083,35.10321667,0.15685317
부산광역시,서구,129.0263778,35.09483611,0.101103425
부산광역시,영도구,129.0701861,35.08811667,0.08786839
부산광역시,부산진구,129.0553194,35.15995278,0.15292272
부산광역시,동래구,129.0858556,35.20187222,0.045795977
부산광역시,남구,129.0865,35.13340833,0.051577955
부산광역시,북구,128.992475,35.19418056,0.040665373
부산광역시,해운대구,129.1658083,35.16001944,0.042317584
부산광역시,사하구,128.9770417,35.10142778,0.050990745
부산광역시,금정구,129.0943194,35.24007778,0.0688726
부산광역시,사상구,128.9933333,35.14946667,0.069557965
대구광역시,동구,128.6355584,35.88682728,0.062346295
대구광역시,서구,128.5591601,35.87194054,0.07950054
대구광역시,북구,128.5828924,35.8858646,0.051753625
대구광역시,수성구,128.6328667,35.85520833,0.035150565
대구광역시,달서구,128.5350639,35.82692778,0.047492325
대구광역시,달성군,128.4313995,35.77475029,0.047250375
인천광역시,중구,126.6217617,37.47384843,0.1062358
인천광역시,동구,126.6432441,37.47401607,0.10485223
인천광역시,연수구,126.6782658,37.41038125,0.06663063
인천광역시,남동구,126.7309669,37.44971062,0.06629953
인천광역시,부평구,126.7219068,37.50784204,0.07565895
인천광역시,계양구,126.737744,37.53770728,0.053729758
인천광역시,서구,126.6759616,37.54546372,0.07860345
인천광역시,강화군,126.4878417,37.74692907,0.116874784
광주광역시,동구,126.9230903,35.14627776,0.09770247
광주광역시,서구,126.8895063,35.1525164,0.055598944
광주광역시,북구,126.9010806,35.1812138,0.052099228
광주광역시,광산구,126.793668,35.13995836,0.043656617
대전광역시,동구,127.4548596,36.31204028,0.107117206
대전광역시,중구,127.421381,36.32582989,0.053450346
대전광역시,서구,127.3834158,36.35707299,0.06567964
대전광역시,유성구,127.3561363,36.36405586,0.088995546
대전광역시,대덕구,127.4170933,36.35218384,0.05729483
울산광역시,중구,129.3328162,35.56971228,0.05120793
울산광역시,남구,129.3301754,35.54404265,0.037604153
울산광역시,북구,129.361245,35.58270783,0.044742346
세종,세종시,127.2494855,36.5040736,0.047385544
경기도,수원시,127.0122222,37.30101111,0.06314179
경기도,성남시,127.1477194,37.44749167,0.05801779
경기도,의정부시,127.0358417,37.73528889,0.064918846
경기도,안양시,126.9533556,37.3897,0.07087296
경기도,부천시,126.766,37.5035917,0.06756812
경기도,광명시,126.8667083,37.47575,0.061026514
경기도,평택시,127.1146556,36.98943889,0.0625654
경기도,동두천시,127.0626528,37.90091667,0.090691596
경기도,안산시,126.8468194,37.29851944,0.07468061
경기도,고양시,126.7770556,37.65590833,0.0540161
경기도,과천시,126.9898,37.42637222,0.11096844
경기도,구리시,127.1318639,37.591625,0.0675486
경기도,남양주시,127.2186333,37.63317778,0.05033812
경기도,오산시,127.0796417,37.14691389,0.08396578
경기도,시흥시,126.8050778,37.37731944,0.056476504
경기도,군포시,126.9375,37.35865833,0.05290264
경기도,의왕시,126.9703889,37.34195,0.060046017
경기도,하남시,127.217,37.53649722,0.051953316
경기도,용인시,127.2038444,37.23147778,0.050860047
경기도,파주시,126.7819528,37.75708333,0.066021994
경기도,이천시,127.4432194,37.27543611,0.0734207
경기도,안성시,127.2818444,37.005175,0.081006885
경기도,화성시,126.8335306,37.19681667,0.05952534
경기도,광주시,127.2577861,37.41450556,0.07339281
경기도,포천시,127.2024194,37.89215556,0.1019239
경기도,여주시,127.6396222,37.29535833,0.099630594
경기도,연천군,127.0770667,38.09336389,0.14290786
경기도,가평군,127.5117778,37.82883056,0.119784534
강원도,춘천시,127.7323111,37.87854167,0.06987676
강원도,원주시,127.9220556,37.33908333,0.077930674
