sido,sigungu,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4,y5,y6,y7,전월세구분,a1,a2,a3
충청남도,태안군,26887.0,279.4,7417.0,8502.0,1121.0,0.0,9191.0,408.0,27963,5.5,0.06,0.0,0.0,0.04,0.1,월세,54.644576388888886,1590.6527777777778,39.5
전라남도,목포시,92846.0,1109.2,17626.0,40712.0,3261.0,0.0,29003.0,1384.0,94214,4.3,0.04,0.0,0.0,0.02,0.06,월세,66.53130393046108,8768.578609221466,25.33257747543462
전라남도,나주시,46928.0,508.3,9895.0,17484.0,1382.0,0.0,16876.0,807.0,48429,5.3,0.05,0.0,0.0,0.03,0.08,월세,71.11697584269663,5007.181179775281,41.94101123595506
전라남도,담양군,17663.0,190.0,4831.0,6073.0,1018.0,0.0,5317.0,247.0,17957,8.9,0.09,0.0,0.0,0.05,0.15,월세,61.56172307692308,2761.769230769231,30.615384615384617
전라남도,곡성군,12630.0,111.0,3061.0,3527.0,556.0,0.0,5161.0,244.0,12657,9.8,0.1,0.0,0.0,0.04,0.14,월세,61.84364285714285,1942.857142857143,42.85714285714285
전라남도,구례군,10786.0,101.7,2799.0,3219.0,582.0,0.0,3930.0,194.0,10969,6.0,0.06,0.0,0.01,0.04,0.11,월세,70.64578888888889,2611.1111111111118,44.44444444444444
전라남도,고흥군,28933.0,283.2,8310.0,7831.0,954.0,0.0,11154.0,364.0,29446,6.0,0.06,0.0,0.0,0.03,0.1,월세,50.84845660377359,2025.4150943396223,49.0566037735849
전라남도,보성군,17708.0,165.3,4636.0,5087.0,785.0,0.0,6806.0,259.0,17805,7.2,0.07,0.0,0.0,0.03,0.11,월세,48.03735,1117.5,20.6
전라남도,화순군,24708.0,274.3,5739.0,9575.0,918.0,0.0,7983.0,247.0,25290,7.4,0.08,0.0,0.0,0.03,0.11,월세,56.84531448598131,2895.3271028037384,34.925233644859816
전라남도,장흥군,16350.0,161.4,4240.0,4997.0,675.0,0.0,6078.0,221.0,16427,10.2,0.1,0.0,0.0,0.04,0.14,월세,49.79225128205128,1408.8974358974358,25.487179487179485
전라남도,강진군,14918.0,149.0,3991.0,4516.0,586.0,0.0,5479.0,208.0,15198,6.5,0.07,0.0,0.0,0.04,0.11,월세,42.76755185185185,1561.037037037037,30.03703703703704
전라남도,해남군,28491.0,306.2,7500.0,8998.0,1478.0,0.0,9851.0,394.0,28944,6.8,0.07,0.0,0.0,0.04,0.11,월세,56.43962444444445,1717.3777777777775,43.24444444444445
전라남도,영암군,22747.0,237.1,5029.0,7715.0,964.0,0.0,8218.0,635.0,23458,5.6,0.06,0.0,0.0,0.04,0.1,월세,51.514764044943824,4702.359550561798,14.51685393258427
전라남도,무안군,32078.0,369.2,6595.0,12848.0,1240.0,0.0,10720.0,394.0,35527,3.9,0.04,0.0,0.0,0.02,0.06,월세,62.82336148148149,3061.237037037037,42.58518518518518
전라남도,함평군,13434.0,125.4,3416.0,3947.0,706.0,0.0,4999.0,271.0,13473,7.9,0.08,0.0,0.0,0.05,0.13,월세,64.3144,4000.0,145.0
전라남도,영광군,21345.0,234.6,5075.0,7393.0,1039.0,0.0,7261.0,375.0,21731,6.6,0.07,0.0,0.0,0.04,0.11,월세,50.99201891891892,1608.1891891891892,31.16216216216216
전라남도,장성군,17059.0,193.6,4600.0,6067.0,909.0,5.0,5145.0,175.0,17237,7.9,0.08,0.0,0.0,0.04,0.12,월세,50.17615714285714,1627.904761904762,23.261904761904763
전라남도,완도군,20810.0,225.3,5659.0,6515.0,934.0,0.0,7049.0,462.0,21182,5.3,0.06,0.0,0.0,0.05,0.11,월세,53.11985294117648,2253.6470588235293,43.41176470588236
전라남도,진도군,13090.0,150.2,3475.0,3797.0,531.0,0.0,4893.0,248.0,13367,6.7,0.07,0.0,0.0,0.04,0.11,월세,58.60693333333333,2315.222222222222,38.77777777777778
경상북도,포항시,202492.0,2437.9,45367.0,89000.0,6198.0,0.0,57616.0,2455.0,207243,3.4,0.03,0.0,0.0,0.01,0.05,월세,69.57647935463659,4796.732456140351,47.62938596491228
