시도,시군구,경도,위도,일반가구수,일반가구_기준미달비율,전체가구_기준미달가구 비율,전체가구_지하거주가구 비율,전체가구_옥상거주가구 비율,전체가구_주택이외거처가구 비율,전체가구_주거빈곤가구 비율
전라남도,영광군,126.5140861,35.27416667,21731,6.6,0.07,0.0,0.0,0.04,0.11
전라남도,장성군,126.786975,35.29881111,17237,7.9,0.08,0.0,0.0,0.04,0.12
전라남도,완도군,126.7570972,34.30785278,21182,5.3,0.06,0.0,0.0,0.05,0.11
전라남도,진도군,126.2655444,34.48375,13367,6.7,0.07,0.0,0.0,0.04,0.11
전라남도,신안군,126.3817306,34.78981111,16698,10.2,0.11,0.0,0.0,0.05,0.16
경상북도,포항시,129.3616667,36.00568611,207243,3.4,0.03,0.0,0.0,0.01,0.05
경상북도,영주시,128.6263444,36.80293611,45558,9.4,0.09,0.0,0.0,0.03,0.13
경상북도,영천시,128.940775,35.97005278,44764,11.1,0.11,0.0,0.0,0.06,0.18
경상북도,군위군,128.5750778,36.23999722,10720,18.4,0.19,0.0,0.0,0.05,0.24
경상북도,의성군,128.6993639,36.34975833,24046,20.2,0.21,0.0,0.0,0.03,0.24
경상북도,청송군,129.0594,36.43329167,11704,18.3,0.19,0.0,0.0,0.04,0.23
경상북도,영양군,129.1146222,36.664275,7653,16.4,0.17,0.0,0.0,0.03,0.2
경상북도,영덕군,129.3683556,36.41210278,16952,10.4,0.11,0.0,0.0,0.03,0.15
경상북도,청도군,128.7362,35.64431111,18794,12.1,0.12,0.0,0.0,0.04,0.16
경상북도,고령군,128.2650222,35.72298611,13461,10.1,0.11,0.0,0.0,0.06,0.17
경상북도,성주군,128.2851528,35.91621111,18152,12.5,0.13,0.0,0.0,0.06,0.2
경상북도,칠곡군,128.4037972,35.99254722,46733,4.6,0.05,0.0,0.0,0.03,0.08
경상북도,예천군,128.4550222,36.65495,23979,9.7,0.1,0.0,0.0,0.02,0.12
경상북도,봉화군,128.734875,36.89026111,14066,15.6,0.16,0.0,0.0,0.03,0.2
경상북도,울진군,129.4027861,36.99018611,21671,9.5,0.1,0.0,0.0,0.03,0.13
경상북도,울릉군,130.9037889,37.480575,4116,12.5,0.13,0.0,0.01,0.11,0.24
경상남도,진주시,128.11,35.17703333,146562,5.6,0.06,0.0,0.0,0.01,0.08
경상남도,사천시,128.0667778,35.00028333,46501,6.2,0.06,0.0,0.0,0.02,0.09
경상남도,밀양시,128.7489444,35.50077778,45906,9.1,0.1,0.0,0.0,0.03,0.13
경상남도,거제시,128.6233556,34.87735833,95725,2.5,0.03,0.0,0.0,0.01,0.04
경상남도,의령군,128.2638222,35.31911944,12287,14.7,0.15,0.0,0.0,0.04,0.19
경상남도,함안군,128.4087083,35.26940556,26576,7.6,0.08,0.0,0.0,0.03,0.12
경상남도,창녕군,128.4945333,35.54153611,26832,15.5,0.16,0.0,0.0,0.05,0.21
경상남도,남해군,127.8944667,34.83455833,19462,9.4,0.1,0.0,0.0,0.02,0.12
경상남도,하동군,127.7534306,35.06420278,19387,8.7,0.09,0.0,0.0,0.04,0.13
경상남도,산청군,127.8756194,35.41249167,15576,12.0,0.13,0.0,0.0,0.05,0.18
경상남도,함양군,127.7274194,35.51746944,17298,10.4,0.11,0.0,0.0,0.04,0.15
경상남도,거창군,127.9116556,35.683625,25832,10.7,0.11,0.0,0.01,0.03,0.14
경상남도,합천군,128.1679306,35.56361667,20089,15.1,0.16,0.0,0.0,0.03,0.2
서울특별시,종로구,126.9816417,37.57037778,63300,8.3,0.08,0.04,0.02,0.04,0.17
서울특별시,중구,126.9996417,37.56100278,55039,8.8,0.08,0.04,0.02,0.05,0.18
서울특별시,용산구,126.9675222,37.53609444,95596,5.8,0.06,0.05,0.01,0.02,0.13
서울특별시,성동구,127.039,37.56061111,122042,9.5,0.11,0.04,0.01,0.01,0.16
서울특별시,광진구,127.0845333,37.53573889,151862,10.2,0.11,0.08,0.02,0.02,0.22
